"bylaw_id","highway","between","failed_reason","resaon"
5071,"Eastern Avenue","Eastern Avenue Diversion and Lawren Harris Square (west leg) Lawren Harris Square (south leg)",3,"no int_id is not found for the second intersection only"
5095,"Upper Rouge Trail","Antelope Drive (west intersection) and Meandering Trail/Muskox Drive",3,"no int_id is not found for the second intersection only"
5179,"Bloor Street East","Yonge Street and Don Valley Parkway",3,"no int_id is not found for the second intersection only"
5557,"St. Helen's Avenue","Dundas Street West and Lumbervale Avenue",3,"no int_id is not found for the second intersection only"
5670,"Horticutural Avenue","Gerrad Street East and the north end of Horticultural Avenue",3,"no int_id is not found for the second intersection only"
5730,"Osler Street","Cariboo Avenue and C.P.R. tracks south of Pelham Avenue",3,"no int_id is not found for the second intersection only"
5832,"Brunel Court","Fort York Boulevard and south end of Brunel Court",3,"no int_id is not found for the second intersection only"
6115,"Windeyer Lane","Seaton Street and a point 38.7 metres north of the east-west leg of Windeyer Lane",3,"no int_id is not found for the second intersection only"
6226,"Cherry Nook Gardens","Greenwood Avenue and the east end of Cherry Book Gardens",3,"no int_id is not found for the second intersection only"
6235,"Edgewood Gardens","Edgewood Grove and the north of Edgewood Gardens",3,"no int_id is not found for the second intersection only"
6367,"Broadview Avenue","Bayview Avenue and a point 142.8 metres west of Cardiff Road",3,"no int_id is not found for the second intersection only"
6401,"Ferris Crescent","A point 46.55 metres north of Ferris Crescent",3,"no int_id is not found for the second intersection only"
6411,"Glen Roberts Drive","A point 236.34 metres west of Plaxton Drive",3,"no int_id is not found for the second intersection only"
6412,"Glenburn Avenue","A point 43.28 metres north of Holland Avenue",3,"no int_id is not found for the second intersection only"
6413,"Glenburn Avenue","A point 43.28 metres north of Holland Avenue",3,"no int_id is not found for the second intersection only"
6416,"Glenwood Terrace","A point 62 metres north of Glenwood Crescent",3,"no int_id is not found for the second intersection only"
6434,"Notley Place","A point 304.20 metres west of Ferris Road",3,"no int_id is not found for the second intersection only"
6436,"Plaxton Crescent","A point 47.56 metres west of Plaxton Drive",3,"no int_id is not found for the second intersection only"
6450,"Thyra Avenue","A point 132.94 metres north of Dentonia Park Avenue",3,"no int_id is not found for the second intersection only"
6484,"Blossomfield Drive","Lawrence Avenue and West Flemington Road",3,"no int_id is not found for the second intersection only"
6499,"Neptune Drive","Hotspur Road and Baycrest Avenue",3,"no int_id is not found for the second intersection only"
